date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:17	1208/1208	---MCZ	200	added ('OK')	text/plain	date:Thu,%2018%20Jun%202026%2009:08:15%20GMT	https://honeysticks.co.uk/robots.txt		(from )
16:08:17	375079/375079	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2009:08:16%20GMT	https://honeysticks.co.uk/?srsltid=AfmBOoofIlB2qKpj7U-kOZIpOCU5_RUCGgnDzO_T2PF73XTKPHDbLShE	D:/HoneyBee/HoneyBee/honeysticks.co.uk/indexab1d.html	(from )
16:08:19	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jun%202026%2009:08:16%20GMT	http://honeysticks.co.uk/cdn/fonts/quicksand/quicksand_n4.bf8322a9d1da765aa396ad7b6eeb81930a6214de.woff2	D:/HoneyBee/HoneyBee/honeysticks.co.uk/cdn/fonts/quicksand/quicksand_n4.bf8322a9d1da765aa396ad7b6eeb81930a6214de.0.delayed	(from https://honeysticks.co.uk/?srsltid=AfmBOoofIlB2qKpj7U-kOZIpOCU5_RUCGgnDzO_T2PF73XTKPHDbLShE)
16:08:19	375014/375014	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2009:08:17%20GMT	https://honeysticks.co.uk/	D:/HoneyBee/HoneyBee/honeysticks.co.uk/index.html	(from https://honeysticks.co.uk/?srsltid=AfmBOoofIlB2qKpj7U-kOZIpOCU5_RUCGgnDzO_T2PF73XTKPHDbLShE)
16:08:21	17328/17328	---M--	200	added ('OK')	font/woff2	date:Thu,%2011%20Jun%202026%2003:17:31%20GMT	https://honeysticks.co.uk/cdn/fonts/quicksand/quicksand_n4.bf8322a9d1da765aa396ad7b6eeb81930a6214de.woff2	D:/HoneyBee/HoneyBee/honeysticks.co.uk/cdn/fonts/quicksand/quicksand_n4.bf8322a9d1da765aa396ad7b6eeb81930a6214de.woff2	(from https://honeysticks.co.uk/?srsltid=AfmBOoofIlB2qKpj7U-kOZIpOCU5_RUCGgnDzO_T2PF73XTKPHDbLShE)
16:08:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jun%202026%2009:08:18%20GMT	http://honeysticks.co.uk/cdn/fonts/quicksand/quicksand_n5.8f86b119923a62b5ca76bc9a6fb25da7a7498802.woff2	D:/HoneyBee/HoneyBee/honeysticks.co.uk/cdn/fonts/quicksand/quicksand_n5.8f86b119923a62b5ca76bc9a6fb25da7a7498802.woff2	(from https://honeysticks.co.uk/?srsltid=AfmBOoofIlB2qKpj7U-kOZIpOCU5_RUCGgnDzO_T2PF73XTKPHDbLShE)
16:08:21	17284/17284	---M--	200	added ('OK')	font/woff2	date:Tue,%2009%20Jun%202026%2004:01:54%20GMT	https://honeysticks.co.uk/cdn/fonts/quicksand/quicksand_n5.8f86b119923a62b5ca76bc9a6fb25da7a7498802.woff2	D:/HoneyBee/HoneyBee/honeysticks.co.uk/cdn/fonts/quicksand/quicksand_n5.8f86b119923a62b5ca76bc9a6fb25da7a7498802.woff2	(from https://honeysticks.co.uk/?srsltid=AfmBOoofIlB2qKpj7U-kOZIpOCU5_RUCGgnDzO_T2PF73XTKPHDbLShE)
16:08:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jun%202026%2009:08:20%20GMT	http://honeysticks.co.uk/cdn/shop/files/bee-icon_32x32.png?v=1761622464	D:/HoneyBee/HoneyBee/honeysticks.co.uk/cdn/shop/files/bee-icon_32x32a461.png	(from https://honeysticks.co.uk/?srsltid=AfmBOoofIlB2qKpj7U-kOZIpOCU5_RUCGgnDzO_T2PF73XTKPHDbLShE)
16:08:22	1552/1552	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202026%2009:08:21%20GMT	https://honeysticks.co.uk/cdn/shop/files/bee-icon_32x32.png?v=1761622464	D:/HoneyBee/HoneyBee/honeysticks.co.uk/cdn/shop/files/bee-icon_32x32a461.png	(from https://honeysticks.co.uk/?srsltid=AfmBOoofIlB2qKpj7U-kOZIpOCU5_RUCGgnDzO_T2PF73XTKPHDbLShE)
16:08:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jun%202026%2009:08:21%20GMT	http://honeysticks.co.uk/cdn/shop/files/DSC08084.jpg?v=1653254876	D:/HoneyBee/HoneyBee/honeysticks.co.uk/cdn/shop/files/DSC08084a603.jpg	(from https://honeysticks.co.uk/?srsltid=AfmBOoofIlB2qKpj7U-kOZIpOCU5_RUCGgnDzO_T2PF73XTKPHDbLShE)
